# Constructed from biom file
#OTU ID	1-63-3-PBS-16S_000000000-J99GR	22-80-1-PBS-16S_000000000-J99GR	23-63-1-PBS-16S_000000000-J99GR	36-75-2-PBS-16S_000000000-J99GR	45-80-3-PBS-16S_000000000-J99GR	47-63-2-PBS-16S_000000000-J99GR	55-75-4-PBS-16S_000000000-JCCFG	6-63-4-PBS-16S_000000000-J99GR	60-80-4-PBS-16S_000000000-JCCFG	62-80-2-PBS-16S_000000000-JCCFG	64-75-3-PBS-16S_000000000-JCCFG	67-75-1-PBS-16S_000000000-JCCFG
97a98800430c042002c16c6ea4ef7ecd	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	5.0	0.0
addce1027fd8b1eb7441d2d756389394	14.0	0.0	33.0	0.0	0.0	20.0	0.0	12.0	31.0	12.0	0.0	0.0
8e6a2a3d43007bf5f983f123d365f12d	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1ee297c666c5b2b89b05fb01d191568b	34.0	0.0	52.0	27.0	0.0	53.0	23.0	55.0	0.0	0.0	12.0	25.0
efe16b7fe8c859465d8cbb4005e70e49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0
aabcbdfc0545175fbe5fecd98c1504b4	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
8a58f4d9369c25d78b985850e2787dc0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
ae9b80e3bad8909da8c820dee77b5f49	0.0	0.0	0.0	13.0	0.0	0.0	48.0	0.0	0.0	0.0	20.0	0.0
cdd2bf88c505c70dd342386587bc53e2	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0
02282ac213f3467afb9c2ddf6ede88ff	0.0	0.0	11.0	0.0	0.0	16.0	0.0	14.0	0.0	0.0	0.0	16.0
915b9a764e789021c92cc741dfd1d068	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0
f0e0fa6daf43a3089df91de7705f2e78	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
0d9307f8f19924d857213d4d37f14384	15.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	28.0	0.0	20.0	0.0
a6694448f4b5f465459d3adc8fb9947c	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
12a01482bd57c39c8cf794bb028f5a3e	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	11.0	0.0
c106b8aae933411ff7d05ab3f67d5f9f	9.0	13.0	18.0	0.0	0.0	10.0	0.0	17.0	4.0	1.0	6.0	0.0
de33d493c9c0ee6075f4710c3ece4e91	0.0	0.0	0.0	11.0	0.0	0.0	231.0	0.0	0.0	0.0	105.0	24.0
eeb0f04d69c824e78a8ca98c08634ef2	17.0	0.0	9.0	0.0	0.0	13.0	0.0	15.0	0.0	0.0	0.0	0.0
708d2ac2e7b587fc621a63ce1c77fd49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0e09374b523e6df0c6848c854d6376f3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8d136f7d4a587c268ae0fccb3cbf6b59	0.0	0.0	25.0	35.0	0.0	23.0	111.0	26.0	0.0	25.0	75.0	194.0
56cee3ae2fedb8e3af18f59112164c5a	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0
0f47c381ec124bf6fa817fa8bc810c52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
f05b5f74b0ba14ec89c7cae4d4a5bae7	22.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a8cf6a3c188c53cd8b0de2fbad81a771	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	16.0
829f91b70bb6580fc82b1d8f0a455291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
b157fd5b0a3f77103c70d3901c221cc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
2cd5fdde252c7c7e358089adace3db5c	16.0	0.0	13.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
6436a7266d2275ac9f2dac6ed7d7b231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	12.0	0.0	0.0
9f5b76d7eab68dbf6466174ca9eddc1a	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	120.0
a349afc68ea24812d020e0bae53ab45e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
310fba01508035fb0aefe7f965f46423	0.0	0.0	15.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
15dac1e6a414861c0db80d636ffb8a9a	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	58.0	92.0
ec9a1b76aec71dbfabb49eb00696e8d4	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
460ed9782dfc77382ac07dfc7df74bd6	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
328ec4dec2f85e7539543eeae0986d4d	0.0	0.0	0.0	12.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0
bc33b466aa5105c71240586e1c60ac03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0
53764fdb37ea9c8418f602105fb3ab1c	37.0	0.0	78.0	0.0	0.0	41.0	0.0	21.0	0.0	0.0	0.0	0.0
f46691ca7d17be3ab2dec161de6806f5	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
07171f724a1d0d9d874b4fa867c11ba8	0.0	569.0	0.0	0.0	69.0	0.0	0.0	0.0	1043.0	596.0	0.0	0.0
c115cb14637cd6e7fe362a3b0f3273eb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
9f1d411068858a8a87719bb80dfeaa6d	0.0	0.0	0.0	7.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
fe45cc29d9d3ca3a49fab7903e6daff4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	14.0	0.0	0.0
cdfb334ac653f3ed33464b2425b94108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
0806e8070bba17f5640fdfebb7bd942c	58.0	0.0	111.0	65.0	0.0	142.0	175.0	71.0	0.0	26.0	107.0	134.0
6d297f5bfc6ce8e61369b75dc6cb988d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
328d9e3a82f009f72280a0be7a64b344	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0
694165390ad0b1fb3ce37344ea263fe4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	0.0
c678084c3b136c2703846057c2b8d931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
d8c51a4caf16753ef703f2a6334baeb0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
fb8c63cde9ed7f52d01a045950cc7007	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
001935410b33e5c291c79b2b5ef43e6e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0
47b8a8276c36a79a6eca30c25bd972dd	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
ad55028cc93e20a98b819e7a17ace00c	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0
d270cec41f80025c54aee01f45ff7684	0.0	6.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	11.0	0.0
eff080a0d944f720b3a04b29417ce282	13.0	0.0	117.0	0.0	0.0	10.0	0.0	38.0	0.0	0.0	0.0	0.0
44bd6b71c3b4f86ca6a9ef37c64d1561	0.0	0.0	0.0	0.0	0.0	6.0	22.0	0.0	0.0	0.0	21.0	11.0
ca1d2692015117b33219fcc199f90303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
c3f10063d67f857ff3dbb49e978ac69c	17.0	0.0	15.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
d051ca069b181a7e19978ccb302dd739	0.0	0.0	22.0	170.0	0.0	0.0	230.0	0.0	0.0	0.0	129.0	338.0
d6adc5cb5da4f2e7a7d455bc4e0317ca	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
f674e6ac5d3eef1c4e2563f2c68a1b82	4.0	0.0	6.0	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0
8f960ad5c0478d8ec0f1dbc60d45730f	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dd3ed8ec3decc36be949927b65bf9f2d	9.0	0.0	9.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
0409a5afcfa8214f9099b1c788fdb5c2	0.0	0.0	18.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
0ff0db322f3c22ddf669476047a9cf7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
8fc0fabfdf5e0826776c43e192eaeaf5	0.0	0.0	72.0	0.0	0.0	38.0	31.0	26.0	0.0	0.0	13.0	21.0
3778720f9c65474d8030c56596022247	52.0	0.0	268.0	0.0	0.0	149.0	0.0	69.0	0.0	0.0	0.0	0.0
ddd88f0733749fc90751e5960866f14b	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	157.0	27.0
bcfa5c6888a62f77f3ee6f847d5a494c	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
ef8e131dd4c4dee0ec08b21b0e38ca1c	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
b14ac5ae42e371a04143948698ec07f9	0.0	0.0	16.0	9.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
13258f707108c2e5a441febed4381cbb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0
35b989f1eeb474e7627aa04630052dc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
292b3f225d5d9f0700cb7170dbf68f72	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	9.0
3d2ef6d3db4b47f068bb0b03212855e9	0.0	0.0	7.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0
bcc71cc1efae148c0f7572338d3e2f86	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0
267c70913ccdeba9b8a520b69f69060e	0.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0	0.0	0.0	74.0	87.0
52941c9cda44262aba22bddf51539910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
5f015be7246714454705e5ad700c72ad	11.0	0.0	0.0	0.0	0.0	24.0	0.0	18.0	0.0	0.0	0.0	0.0
46e06ea82c1576f1f9575aa0532d6c63	79.0	29.0	198.0	0.0	0.0	262.0	0.0	94.0	78.0	190.0	0.0	0.0
39cf6c90a4be15072fd0c316d03214ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
a0d1001e8470a4bb3c45df3f14274cfc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0
d146f623d335c49d8e453501afc85503	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	38.0	123.0
67599bd56c3992d4f6b5bd7ef3a46dc0	0.0	0.0	25.0	0.0	0.0	0.0	18.0	16.0	0.0	0.0	21.0	0.0
1d9bbdd7662d512551bf1fd5e2e2eb13	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0
9626866b5d5a73d93e8ce0b6af0f8917	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0
b3d58312c6327dbaabc317b9e08f7a7d	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8956434e79f3aa634c79dc2b4a5d7b59	0.0	14.0	0.0	81.0	0.0	0.0	47.0	0.0	84.0	19.0	40.0	68.0
28bd148ae1b679ab76d69ceff5fa4649	23.0	0.0	44.0	0.0	0.0	30.0	0.0	38.0	0.0	0.0	0.0	0.0
9b5bf26d5233c849f62f17d1bfa48a58	0.0	79.0	0.0	0.0	0.0	58.0	131.0	0.0	190.0	120.0	79.0	0.0
a2f6188a95397ddf8f4dc22ee5a75307	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
3f904bb66e40120fde3bd99dbac8cf2a	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5aba5eee0c4b449febf57b29b7f19a22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
a66eafb4a518ff8f29943059fba2f6f4	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
6f6ff1aa0b9490661abcff04099e796a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
9e8b4656905a5786125cb4f8b70cf9ae	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95c19eb9dce2553838dd9ab16ddc8bd5	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	9.0
888ab3ec95870bdf044314a829c437d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	21.0	9.0	0.0	5.0
95189de447348fedf8a23ea7764dd152	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
8de09b5e59bda5a3524f73d196bde89c	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	28.0
ad2281ce47473ddbb0457df697779754	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
ef95b652667dc79202be341a1f946175	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
3870ad5bd0618168b910a08e3e560122	0.0	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
304800eed97dcdacaf96f6a167844bc8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0
cdca43cc94790b5605659c7aba78d15a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
c28db6b1185387c0a684ea0a938a707c	0.0	0.0	0.0	17.0	0.0	0.0	20.0	0.0	0.0	0.0	27.0	0.0
b940a05da87a05246c406492993359d5	0.0	0.0	50.0	0.0	0.0	44.0	0.0	24.0	0.0	0.0	0.0	0.0
37d0379872947bdb08a212afb8b57ed5	1085.0	1529.0	2101.0	1109.0	335.0	1742.0	1987.0	1284.0	4339.0	1749.0	1244.0	2440.0
45d99c73c20f97120b60251f9f876688	6.0	4.0	13.0	0.0	0.0	20.0	0.0	7.0	10.0	13.0	0.0	0.0
